PDF 文件名,标题,波段信息,材料,设计目的
2023Nano-Micro Letters-北京化工大学徐斌mxene氧化稳定性的进展.pdf,Progression in the Oxidation Stability of MXenes,否,"XRD,SEM,TEM,SAED,XPS,Raman,UV–Vis","这篇文章聚焦MXenes的氧化稳定性，介绍监测其氧化的方法，探讨影响氧化稳定性的因素、氧化机制的争议，并阐述缓解氧化的策略。研究表明MXenes氧化受多种因素影响，机制尚不明确，虽有多种延缓氧化的策略，但尚未找到完全阻止其在水溶液中自发氧化的有效方法。

1. **MXenes氧化监测方法**
    - **光学特性监测**：通过UV - Vis光谱监测Ti3C2??氧化过程中典型吸收峰变化，利用经验方程跟踪氧化动力学，可评估其浓度及氧化状态，还能建立薄片尺寸与稳定性的定量关系。
    - **XRD监测**：用于评估MXenes膜/粉末形式的MAX相蚀刻、层间插层和氧化进程，氧化增加时MXenes典型峰强度降低，TiO2特征峰出现。
    - **拉曼光谱监测**：对晶格振动敏感，能生成MXenes分子指纹，提供键变化和痕量过渡金属氧化物信息，监测Ti3C2??膜氧化时典型拉曼峰及TiO2振动频率变化。
    - **XPS监测**：用于确定MXenes内部化学键化学稳定性，可评估元素状态、表面成分和氧化产物，通过Ti - C和C 1s谱中键能强度变化追踪TiO2生长，估算氧化程度。
    - **微观方法监测**：SEM和TEM可评估MXenes薄片形态特征及过渡氧化物早期发展，TEM结合SAED可揭示原子排列、层间距和表面缺陷等信息，通过TiO2颗粒分布、大小和位置判断MXenes氧化程度。
2. **影响氧化稳定性的因素**
    - **存储条件**：存储环境、光照和温度等因素影响Ti3C2??氧化，如在惰性气氛和低温下存储可抑制氧化，光照会加速氧化，不同介质中氧化速率不同。
    - **薄片特性**：薄片尺寸、边缘缺陷、表面功能端基类型以及MXenes层数等影响氧化，小薄片、缺陷多、特定表面功能端基及单层MXenes更易氧化。
    - **合成条件**：MAX相质量、蚀刻条件等合成因素影响MXenes氧化，如MAX相纯度高、蚀刻时间合适可减少缺陷，提高氧化稳定性。
3. **氧化机制的争议**
    - **溶解氧与水的作用**：一些研究强调溶解氧作用，另一些则认为水是主要因素，目前对两者与MXenes相互作用的基本理解仍不清晰。
    - **不同视角的机制探讨**：基于Ti空位对溶解氧的敏感性、pH变化、原子层面结构变化等提出多种氧化机制假设，但都有待进一步验证。
4. **缓解氧化的策略**
    - **MAX相改变**：采用MILD合成方法结合高质量MAX相前驱体可减少表面缺陷，提高MXenes胶体稳定性。
    - **分散环境管理**：控制存储环境，如除氧、降低温度，或转移到特定有机溶剂中，可延长MXenes保质期，但存在分散性和转移等问题。
    - **表面功能端基改变**：通过表面功能化改变MXenes亲水性为亲有机性，提高在有机溶剂中的分散性和存储寿命。
    - **使用抗氧化剂**：某些抗氧化剂可有效延缓MXenes氧化。 "
2023Nanosu-南大清华-全天候辐射制冷衣.pdf,An all-weather radiative human body cooling textile,大气透明窗口波段 8–13 μm,POM,这篇文章提出了一种基于聚甲醛（POM）纳米纤维的全天候人体辐射冷却织物，通过设计多层结构，实现了在大气窗口（8-13μm）的选择性发射、在其余中红外波段的透射以及对阳光（0.3-2.5μm）的反射。该织物在室外（晴天和阴天）和室内环境中均能实现高效的人体辐射冷却，比典型的透射型、发射型和商业棉织物表现更优。此外，POM织物还具有良好的透气性、高拉伸强度和防潮能力，在防护服应用中也展现出 superior 的冷却性能。这项研究为下一代可持续个人热管理提供了创新解决方案。 
2023NC-国防科技大学-多频谱兼容.pdf,Transparent dynamic infrared emissivity regulators,中波红外大气窗口波段，3–5μm；长波红外大气窗口波段，7.5–13μm,"AZO,BaF2,ITO,LiTFSI",这篇文章提出了一种基于铝掺杂氧化锌（AZO）纳米晶体的电致变色红外发射率调节器，能够独立调控红外发射率并保持高可见光透明度（400 - 760nm 处为 84.7%）。该调节器在中波红外（MWIR；3 - 5μm）和长波红外（LWIR；7.5 - 13μm）大气窗口的发射率调节度分别为 0.51 和 0.41，响应速度快（<600ms），循环寿命长（>10? 次循环）。其红外发射率调节归因于 AZO 纳米晶体表面耗尽层载流子浓度的改变。这种透明红外发射率调节器为按需智能热管理、多光谱显示和自适应伪装等应用提供了可能。 
2023PR-西安交通-Ge和YbF3实现5-8散热窗口.pdf,Multiband camouflage design with thermal management,可见光至近红外波段，380-780nm；中红外大气窗口波段，3–5μm，8–14μm,"Ge,YbF3,SiO2",这篇文章提出了一种基于多层波长选择发射器的多波段伪装设计，可实现可见光和双波段中红外伪装以及热管理。该设计通过结合Ge和YbF3两种耐高温材料，利用转移矩阵法和粒子群优化设计并制备了14层薄膜结构，实现了在3-5μm和8-14μm波段低发射率、5-8μm波段高发射率，以及可见光波段低反射率的性能。通过模拟和实验验证，该设计在飞机表面涂层和收敛喷管两种应用场景中均表现出色，能够有效提高飞行器在不同环境中的隐身性和生存能力。
2023PR-超表面激光红外伪装.pdf,Multiband metamaterial emitters for infrared and laser compatible stealth with thermal management based on dissipative dielectrics,大气透明窗口波段 3–5 μm ， 8–14 μm,"Al,SiO2",这篇文章提出了一种基于Al∕SiO2∕Al纳米三明治结构的多波段超材料发射器，为实现有效的红外和激光兼容伪装提供了新的思路。该发射器通过引入耗散介质增强光吸收并消耗入射能量，在大气窗口具有低发射率，在未检测波段具有高发射率，同时在10.6μm处实现了激光伪装。此外，该发射器还具有良好的热管理性能，可将大气窗口区域积累的能量耗散到未检测波段，实现辐射冷却。这项研究为多光谱兼容伪装和热管理提供了一种创新的解决方案。 
2023small methods-美国德雷塞尔大学宾夕法尼亚州立大学-mxene在空气中加热后电导率和光学性质的演变.pdf,The Evolution of MXenes Conductivity and Optical Properties Upon Heating in Air,可见光至近红外波段，370-1600nm,"XRD,SEM,TGA,AFM,SE",这篇文章通过原位光谱椭偏仪（SE）研究了三种不同成分和原子结构的MXenes（Ti3C2T?、Mo2TiC2T?和Ti2CT?）在空气中加热时的光学性质演变，以深入了解其热稳定性和结构-性能关系。研究表明，MXenes在可见光和近红外区域的消光和光导率变化与插层水和羟基端基的数量以及氧化程度密切相关。该研究为快速结构-性能关系研究提供了一种强大的原位技术，为新型MXene材料的进一步设计、制造和性能优化铺平了道路。 
2023Tribology International-河南师范大学-Comsol仿真预测红外光谱发射率.pdf,Predicting the directional spectral emissivity for rough surfaces polished by sandpaper,中红外波段，2-20μm,Fe,这篇文章提出了一种预测砂纸打磨粗糙表面定向光谱发射率（DSE）的新方法。通过提取表面特征参数重建粗糙表面模型，利用有限元法模拟计算DSE，并与自制实验装置测量结果对比。结果表明该方法有效，能准确反映粗糙度对DSE的影响，在0-80°范围内与实验数据吻合良好，且有限元法比几何光学近似法更准确，为理解各向异性抛光粗糙表面及推动相关技术发展提供了帮助。 
2023光电工程-湖南大学左建坤-新型红外隐身结构材料研究综述.pdf,Review on new infrared stealth structural materials,大气透明窗口波段 3–5 μm ， 8–14 μm,"Ge,ZnS,SiO2,TiO2,Cu,ITO,Au,Ni,Al,Si,PET,PDMS,Ag,PI,ZnSe,KNA,PEG,PCM,PU,GeO2",这篇文章综述了国内外红外隐身材料的研究进展，重点介绍了单波段的红外隐身、多波段兼容的红外隐身、动态的红外隐身三方面的研究成果。通过对材料结构进行合理设计，实现了在大气窗口3μm - 5μm和8μm - 14μm波段的低辐射率，在非大气窗口5μm - 8μm波段的高辐射率，从而实现了多波段兼容的红外隐身。此外，文章还介绍了基于自适应材料的动态红外隐身技术，通过外部刺激改变材料的折射率，实现了红外光谱的动态变化。这篇综述为红外隐身材料的研究提供了重要的参考。 
2023北京交通大学Ceramics International石墨烯和MXenes二维纳米材料在热伪装中的应用研究进展.pdf,Recent progress in two-dimensional nanomaterials of graphene and MXenes for thermal camouflage,中波红外波段，3–5 μm,"Al,Cu,Ag,CeO2,ZnO,ATO,ITO,PI,PET,MoS2,WS2,MoSe2,WTe2,h-BN,BP,Ti3C2T?,PDMS,rGO,SLS,CNT",这篇文章综述了石墨烯和Ti3C2T? MXene二维纳米材料在热伪装领域的研究进展。通过设计低发射率材料和温度控制材料，实现了热伪装的目的。效果上，Ti3C2T? MXene薄膜在红外波段具有低发射率，能有效降低物体表面温度，展现出优异的热伪装能力。同时，通过电调制、应变调制等方法实现了动态热伪装。未来，需进一步探索发射率调制策略、多光谱伪装材料设计和高温热伪装设计等方面，以推动二维纳米材料在热伪装领域的应用。 
2023北京化工AFM通过协同发射率和热调节，三明治状相变复合材料在高温下实现长期红外隐身.pdf,Long-Term Infrared Stealth by Sandwich-Like Phase-Change Composites at Elevated Temperatures via Synergistic Emissivity and Thermal Regulation,红外波段，3-5μm，8-14μm,"PI,MWCNTs,mE,MXene,PDMS,Ti3AlC2,LiF,HCl,ODA,PMDA,TAPOB,DMAc,TEA",这篇文章设计了一种基于交联聚酰亚胺气凝胶、介孔赤藓糖醇（mE）基相变复合材料和MXene薄膜的三明治状功能复合材料，以实现高温下的长期红外隐身和热伪装。下层气凝胶层通过其层状结构阻隔热量传递，中层相变复合材料层利用mE的潜热和显热吸收实现动态温度调节，上层MXene薄膜层提供低发射率表面。该复合材料能显著降低高温目标的热辐射温度，在不同高温下可将辐射温度降低211.4 - 383.9 °C，同时MXene薄膜具有良好的电磁干扰屏蔽效能，使复合材料在各种复杂场景中具备热伪装能力。 
2023北京化工大学ACSNano自适应和可调的MXene还原氧化石墨烯混合气凝胶复合材料与相变材料和热致变色涂层集成，用于同步可见光红外伪装.pdf,Adaptive and Adjustable MXene/Reduced Graphene Oxide Hybrid Aerogel Composites Integrated with Phase-Change Material and Thermochromic Coating for Synchronous Visible/Infrared Camouflages,可见光至近红外波段，400-2500nm,"Ti3AlC2,GO,RGO,MXene",这篇文章设计了一种具有自适应和可调节功能的MXene/还原氧化石墨烯复合气凝胶材料，用于同步可见光/红外伪装。该材料集成了隔热、吸热、太阳能/电热转换和热致变色等功能，通过多层结构设计实现了可见光颜色和红外发射率的独立调控，能够在复杂环境中动态适应背景，为多光谱兼容伪装提供了创新解决方案。 
2023华中科技大学Optics Letters可重新配置的机械响应软膜，用于自适应可见光和红外双波段伪装.pdf,Reconfigurable mechano-responsive soft film for adaptive visible and infrared dual-band camouflage,可见光至中红外波段，400-14000nm,"PDMS,SiO x,PEDOT:PSS","这篇文章提出了一种基于机械响应的可重构软膜，用于自适应可见光和红外双波段伪装。该软膜由多层聚二甲基硅氧烷/二氧化硅/聚（2,3-二氢噻吩并-1,4-二恶英）-聚（苯乙烯磺酸盐）（PDMS/SiO2/PEDOT:PSS）组成，通过操纵表面皱纹实现了可见光透射率和长波红外发射率的宽带调制。实验结果表明，该软膜的调制范围分别高达66.3%和21%，品质因数（FoM）高达2.91，具有快速响应和简单制造的优点，为多光谱兼容伪装提供了一种创新的解决方案。 "
2023天宫大学Ceramics International同时调谐Mo掺杂VO2的相变温度和红外光学特性用于智能红外隐身材料的粉末.pdf,Simultaneous tuning of the phase transition temperature and infrared optical properties of Mo-doped VO2 powders for intelligent infrared stealth materials,否,"V2O5,C2H2O4,NH46Mo7O24,CO(NH2)2",这篇文章通过水热法制备了Mo掺杂的VO2粉末，研究了其对VO2相变温度和红外光学性能的影响。结果表明，Mo杂质能加速VO2从B相到M相的转变，降低其MIT转变温度，提高红外发射率调节范围，有望成为高性能自适应红外伪装隐身材料。 
2023现代陶瓷技术-中文期刊-红外隐身材料的研究进展.pdf,红外隐身材料的研究进展,大气透明窗口波段 0.76–1.5μm ， 3–5μm ， 8–14μm,"Al,Cu,Fe,Ni,Zn,Si,Sb,Sn,In,Bi,Cr,V,Co,Ti,Pt,Au,Pb,Na,F,Mg,Cl,C,H,O,N",这篇文章分析了红外隐身材料的隐身机理，总结了近年来红外低发射率材料、控温材料、光子晶体、智能隐身材料、红外低发射率纳米材料等红外隐身材料的研究现状，展望了红外隐身材料未来的发展趋势。通过对红外隐身机制的研究，为红外隐身材料的设计和应用提供了理论基础；通过对各种红外隐身材料的研究，为提高武器装备的红外隐身能力提供了技术支持。 
2023红外与激光工程-光学微纳结构红外隐身技术研究进展(特邀).pdf,光学微纳结构红外隐身技术研究进展(特邀),大气透明窗口波段 3–5 μm ， 8–14 μm ，17-25μm,"Ge,ZnS,Si,Ag,VO2,GST",这篇文章围绕红外隐身技术展开，介绍多层薄膜吸收体、金属表面等离子激元、基于相变材料薄膜可调吸收体、智能化设计光学微纳结构实现光谱响应的基本原理，回顾了多光谱红外隐身、多功能红外隐身、自适应红外隐身技术的发展现状。通过光学微纳结构的光谱精细化设计，文章为红外隐身技术带来更多可能，满足了多种红外探测手段及多功能兼容的需求，推动其向多光谱、多功能、自适应方向发展。 
2023香港大学AM由层间水分子调谐的 MXene无阶红外变化.pdf,Stepless IR Chromism in Ti3C2Tx MXene Tuned by Interlayer Water Molecules,中红外波段，2.5-16.7μm,"Ti3C2Tx,CNF",这篇文章报道了一种基于 Ti3C2T?MXene 的自适应红外变色策略，通过水分子在层间的可逆嵌入实现了无梯度、宽范围和可逆的发射率调节。该策略可用于智能纺织品等领域的动态个人热管理，通过实验验证了其在不同代谢率和环境温度下对人体的动态热调节能力，为自适应红外发射率调节提供了新途径。 
2024 CEJ 中科院上海硅盐院MXene TA 低红外 抗氧化 .pdf,Low infrared emissivity and oxidation stability of Ti3C2Tx MXene-based composite with tannic acid,中红外波段，3-30μm,"Ti3AlC2,LiF,HCl,Ti3C2Tx,TA",这篇文章报道了一种基于单宁酸（TA）增强的具有低红外发射率的MXene氧化稳定性复合薄膜。TA减少了MXene薄膜内的孔径，使纳米片紧密有序排列，保持了Ti3C2? MXene本身的低发射率特性。此外，TA与进入薄膜的H2O/O2优先反应以消耗氧化源，还能与Ti原子形成配位以防止氧化，使得复合薄膜表现出优异的抗氧化性。在湿热环境（95%湿度，50℃）中，TM-10（TA复合浓度为10mg/mL）薄膜在72小时后仍保持优异的红外发射特性，20天后发射率仅上升到0.24，同时保持其卓越的红外隐身性能。这项研究为解决MXene在潮湿和氧化环境中的性能稳定性问题提供了一种新策略。 
